Parameter,Left Camera,Right Camera
Matrix,"[[1950.107686998818, 0.0, 921.7434468051031], [0.0, 1937.2394813824812, 443.0247270692011], [0.0, 0.0, 1.0]]","[[1052.3976554523383, 0.0, 1037.3207505494038], [0.0, 1050.2492306516913, 574.3454035485577], [0.0, 0.0, 1.0]]"
Distortion Coefficients,"[[-0.7278285799505843, 0.8819459623603587, 0.021528958050146495, 0.007279579231061158, -0.9515068650004893]]","[[-0.21148140543967356, 0.06106294418589348, -0.00621767999681135, -0.004958375084861195, -0.011331478272100803]]"
